HRV Stress Base Stilte Muziek TempoMuziek
60.814134659295895 0 1 0 0 0
43.8520238985614 0 1 0 0 0
47.0365378980628 0 1 0 0 0
59.89349521634857 0 1 0 0 0
131.45151197304654 0 1 0 0 0
96.43336941558199 0 1 0 0 0
39.041398146464594 0 1 0 0 0
43.31190428313651 0 1 0 0 0
51.53588427902496 0 1 0 0 0
40.56151922826934 0 1 0 0 0
68.09829937948803 0 1 0 0 0
45.74872616746772 0 1 0 0 0
51.78437623088282 0 1 0 0 0
46.195822906990784 0 1 0 0 0
78.94565641418575 0 1 0 0 0
38.86050551509706 0 1 0 0 0
37.13452535004282 0 1 0 0 0
37.52813759182716 0 1 0 0 0
50.496699562116596 0 1 0 0 0
53.299257131885156 0 1 0 0 0
40.936998397999794 0 1 0 0 0
70.10507986032269 0 1 0 0 0
63.93116958451835 0 1 0 0 0
34.62337039887622 0 1 0 0 0
42.129430198958175 0 1 0 0 0
50.033322229623465 0 1 0 0 0
34.74030640177039 0 1 0 0 0
64.4437739428721 0 1 0 0 0
42.78142120126446 0 1 0 0 0
43.159587579123134 0 1 0 0 0
44.93900628311985 0 1 0 0 0
52.52020019546221 0 1 0 0 0
49.12936438062724 0 1 0 0 0
33.1566148922219 0 1 0 0 0
36.67954319356893 0 1 0 0 0
29.781106186881065 0 1 0 0 0
41.0731055558257 0 1 0 0 0
65.98232086450632 0 1 0 0 0
73.56875091444132 0 1 0 0 0
62.01460159358287 0 1 0 0 0
39.96180608963947 0 1 0 0 0
26.04589965597059 0 1 0 0 0
41.11421139190655 0 1 0 0 0
30.966852373884336 0 1 0 0 0
37.33884290104862 0 1 0 0 0
26.388470045672435 0 1 0 0 0
38.93098536669245 0 1 0 0 0
31.226288301382876 0 1 0 0 0
27.18966306848575 0 1 0 0 0
45.70380550717673 0 1 0 0 0
26.748073939247654 0 1 0 0 0
26.949402039196904 0 1 0 0 0
53.81951821170959 0 1 0 0 0
26.19882398846136 0 1 0 0 0
26.960497418494185 0 1 0 0 0
57.483487640811695 0 1 0 0 0
44.82759767725138 0 1 0 0 0
26.647346604888845 0 1 0 0 0
26.416701256272667 0 1 0 0 0
66.83089421108049 0 1 0 0 0
42.90810253504453 0 1 0 0 0
29.238072181059835 0 1 0 0 0
26.78127782808847 0 1 0 0 0
41.22435406917921 0 1 0 0 0
28.11195566448644 0 1 0 0 0
40.5842204233175 0 1 0 0 0
43.89820761237237 0 1 0 0 0
23.600304213597735 0 1 0 0 0
33.209066612344856 0 1 0 0 0
35.312141940429676 0 1 0 0 0
25.056252502592724 0 1 0 0 0
34.566107525633896 0 1 0 0 0
25.45481031987967 0 1 0 0 0
27.756459655935572 0 1 0 0 0
39.50116587220126 0 1 0 0 0
32.51882046155005 0 1 0 0 0
27.72668805986807 0 1 0 0 0
46.15803399803877 0 1 0 0 0
26.40075756488817 0 1 0 0 0
24.629357749602296 0 1 0 0 0
25.859437857691134 0 1 0 0 0
34.56458485669674 0 1 0 0 0
42.70061012752813 0 1 0 0 0
27.228264329155802 0 1 0 0 0
32.696370311992546 0 1 0 0 0
52.90756587025895 0 1 0 0 0
41.30033836081672 0 1 0 0 0
28.416081436583166 0 1 0 0 0
27.637302922327873 0 1 0 0 0
37.441920836108764 0 1 0 0 0
38.99934253226223 0 1 0 0 0
39.34593453080717 0 1 0 0 0
34.7540811106574 0 1 0 0 0
39.346912041219795 0 1 0 0 0
29.91097903223274 0 1 0 0 0
30.74573141104306 0 1 0 0 0
29.700643177012264 0 1 0 0 0
52.09774467287428 0 1 0 0 0
36.05169898909065 0 1 0 0 0
29.483045975611137 0 1 0 0 0
35.03212811120672 0 1 0 0 0
29.829096533418507 0 1 0 0 0
49.03672093441811 0 1 0 0 0
29.455311653679455 0 1 0 0 0
29.699326591692277 0 1 0 0 0
29.65139336026434 0 1 0 0 0
54.841730321128495 0 1 0 0 0
30.176404434845857 0 1 0 0 0
30.203582738748235 0 1 0 0 0
35.95344211615906 0 1 0 0 0
63.27595241358406 0 1 0 0 0
29.201773743106596 0 1 0 0 0
31.53133362228753 0 1 0 0 0
32.953736024140234 0 1 0 0 0
32.860232375850174 0 1 0 0 0
35.58200313878381 0 1 0 0 0
37.30105120573188 0 1 0 0 0
56.672124803378686 0 1 0 0 0
41.0612594427768 0 1 0 0 0
36.869748824454696 0 1 0 0 0
60.2173989402991 0 1 0 0 0
44.0349983658576 0 1 0 0 0
53.374505504386995 0 1 0 0 0
70.06425622241343 0 1 0 0 0
39.55621878345356 0 1 0 0 0
33.40409156575483 0 1 0 0 0
56.08641292047223 0 1 0 0 0
49.18623500823898 0 1 0 0 0
34.28272969813745 0 1 0 0 0
70.03427732189431 0 1 0 0 0
49.805335342425195 0 1 0 0 0
31.152403153243608 0 1 0 0 0
31.605642956071414 0 1 0 0 0
50.36835741387075 0 1 0 0 0
37.87837679430612 0 1 0 0 0
40.10333873604264 0 1 0 0 0
36.29240814397536 0 1 0 0 0
32.8743398750792 0 1 0 0 0
31.260198335903116 0 1 0 0 0
33.810395696336606 0 1 0 0 0
62.79286937578537 0 1 0 0 0
61.34073454308902 0 1 0 0 0
66.35811932235572 0 1 0 0 0
63.56776786321124 0 1 0 0 0
82.78603612794718 0 1 0 0 0
46.958906385145816 0 1 0 0 0
29.913764947484182 0 1 0 0 0
35.08956793375743 0 1 0 0 0
35.065190254261665 0 1 0 0 0
30.6752705321766 0 1 0 0 0
24.224069756247722 0 1 0 0 0
37.614270341631425 0 1 0 0 0
38.75492800205471 0 1 0 0 0
45.4706865280626 0 1 0 0 0
47.277255513501295 0 1 0 0 0
43.6494017172088 0 1 0 0 0
61.91340945441682 0 1 0 0 0
21.286406721452803 0 1 0 0 0
26.212804335116665 0 1 0 0 0
22.708493469970122 0 1 0 0 0
24.16896540791287 0 1 0 0 0
24.854018230906288 0 1 0 0 0
22.509457471820056 0 1 0 0 0
36.26851810324493 0 1 0 0 0
21.172571354886912 0 1 0 0 0
24.457906476008716 0 1 0 0 0
24.895457091280402 0 1 0 0 0
25.51523127520162 0 1 0 0 0
22.877821942704802 0 1 0 0 0
45.35654546166646 0 1 0 0 0
25.97087766107427 0 1 0 0 0
26.485348481953686 0 1 0 0 0
26.840872423087003 0 1 0 0 0
29.94732217182628 0 1 0 0 0
23.60196245185869 0 1 0 0 0
42.19285297423325 0 1 0 0 0
26.463977502695204 0 1 0 0 0
39.35967746979535 0 1 0 0 0
29.220126445203555 0 1 0 0 0
29.017689704548737 0 1 0 0 0
33.11242112006358 1 0 0 0 0
32.15996203192312 1 0 0 0 0
42.893687426620616 1 0 0 0 0
31.077652949032572 1 0 0 0 0
50.22763969642297 1 0 0 0 0
44.91701750493304 1 0 0 0 0
32.215221756500654 1 0 0 0 0
31.160461469213818 1 0 0 0 0
36.1882542213595 1 0 0 0 0
34.71864938883158 1 0 0 0 0
31.163341383007154 1 0 0 0 0
36.70079996333483 1 0 0 0 0
33.23999753154978 1 0 0 0 0
36.052668026026474 1 0 0 0 0
42.714316341395666 1 0 0 0 0
29.60509311692058 1 0 0 0 0
45.504860264506995 1 0 0 0 0
55.96015065685994 1 0 0 0 0
44.90959579947024 1 0 0 0 0
41.85046640673839 1 0 0 0 0
48.99489769353539 1 0 0 0 0
52.87816184399757 1 0 0 0 0
60.62664219293151 1 0 0 0 0
71.6655511352016 1 0 0 0 0
96.96869892614096 1 0 0 0 0
86.33695481913792 1 0 0 0 0
67.53293770019637 1 0 0 0 0
66.80969154038155 1 0 0 0 0
69.99967532392236 1 0 0 0 0
72.77908665643898 1 0 0 0 0
77.38393067861523 1 0 0 0 0
79.23167984404402 1 0 0 0 0
73.22710770148976 1 0 0 0 0
81.65907509551248 1 0 0 0 0
73.70241862807426 1 0 0 0 0
74.52516353554684 1 0 0 0 0
77.2033390181769 1 0 0 0 0
72.25082572664355 1 0 0 0 0
73.46957042053381 1 0 0 0 0
83.05767741622552 1 0 0 0 0
72.97625184492098 1 0 0 0 0
77.00494055296204 1 0 0 0 0
87.7194143401215 1 0 0 0 0
70.51857602942214 1 0 0 0 0
